dato,runde,hjemmehold,udehold,hjemmemaal,udemaal,tilskuere,stadion
2025-03-29,1,Djurgården,Malmö,0,1,28785,3Arena
2025-03-29,1,BK Häcken,Brommapojkarna,2,0,4557,Bravida Arena
2025-03-30,1,Hammarby,Göteborg,4,0,30217,3Arena
2025-03-30,1,Elfsborg,Mjällby,2,2,8025,Borås Arena
2025-03-30,1,Halmstad,Degerfors,0,5,5524,Örjans Vall
2025-03-30,1,Norrköping,Öster,4,3,9527,PlatinumCars Arena
2025-03-31,1,Värnamo,Sirius,1,2,2524,Finnvedsvallen
2025-03-31,1,GAIS,AIK Stockholm,0,1,15046,Nya Gamla Ullevi
2025-04-05,2,Göteborg,Halmstad,1,0,17251,Nya Gamla Ullevi
2025-04-05,2,Sirius,Djurgården,0,1,9639,Studenternas IP
2025-04-05,2,Öster,BK Häcken,2,0,7871,Spiris Arena
2025-04-06,2,Brommapojkarna,Hammarby,0,2,4254,Grimsta IP
2025-04-06,2,AIK Stockholm,Norrköping,4,3,38525,Strawberry Arena
2025-04-06,2,Mjällby,GAIS,1,1,3682,Strandvallen A-Plan
2025-04-06,2,Degerfors,Värnamo,1,0,3506,Stora Valla
2025-04-07,2,Malmö,Elfsborg,2,1,20930,Eleda Stadion
2025-04-12,3,BK Häcken,Mjällby,0,3,4058,Bravida Arena
2025-04-12,3,Elfsborg,Norrköping,2,0,8065,Borås Arena
2025-04-13,3,Värnamo,Göteborg,0,1,4108,Finnvedsvallen
2025-04-13,3,Hammarby,Djurgården,2,0,28333,3Arena
2025-04-13,3,Sirius,Brommapojkarna,0,3,4935,Studenternas IP
2025-04-13,3,GAIS,Degerfors,2,0,7651,Nya Gamla Ullevi
2025-04-14,3,Halmstad,Öster,1,0,4728,Örjans Vall
2025-04-14,3,AIK Stockholm,Malmö,0,0,28472,Strawberry Arena
2025-04-18,4,Malmö,Sirius,1,1,19353,Eleda Stadion
2025-04-18,4,Mjällby,Hammarby,3,1,5941,Strandvallen A-Plan
2025-04-19,4,Norrköping,Halmstad,3,0,5626,PlatinumCars Arena
2025-04-19,4,Degerfors,Elfsborg,0,1,3127,Stora Valla
2025-04-20,4,Brommapojkarna,Värnamo,3,2,530,Grimsta IP
2025-04-20,4,Öster,AIK Stockholm,0,1,11685,Spiris Arena
2025-04-20,4,Göteborg,BK Häcken,2,3,17318,Nya Gamla Ullevi
2025-04-21,4,Djurgården,GAIS,0,0,17978,3Arena
2025-04-23,5,Hammarby,Malmö,2,0,27884,3Arena
2025-04-23,5,Halmstad,Mjällby,1,3,3652,Örjans Vall
2025-04-23,5,Elfsborg,Sirius,4,3,5723,Borås Arena
2025-04-23,5,BK Häcken,Degerfors,3,4,3176,Bravida Arena
2025-04-24,5,Värnamo,AIK Stockholm,1,2,3235,Finnvedsvallen
2025-04-24,5,GAIS,Brommapojkarna,1,1,6157,Nya Gamla Ullevi
2025-04-24,5,Djurgården,Öster,1,0,12301,3Arena
2025-04-24,5,Norrköping,Göteborg,2,3,8718,PlatinumCars Arena
2025-04-27,6,Mjällby,Degerfors,4,1,3241,Strandvallen A-Plan
2025-04-27,6,BK Häcken,Hammarby,1,1,6316,Bravida Arena
2025-04-27,6,AIK Stockholm,Elfsborg,2,0,27079,Strawberry Arena
2025-04-27,6,Sirius,Halmstad,1,1,4442,Studenternas IP
2025-04-27,6,Värnamo,Norrköping,1,3,1888,Finnvedsvallen
2025-04-28,6,Göteborg,GAIS,1,1,18021,Nya Gamla Ullevi
2025-04-29,6,Malmö,Öster,2,0,19764,Eleda Stadion
2025-05-03,7,Degerfors,Sirius,1,1,4112,Stora Valla
2025-05-03,7,Halmstad,Värnamo,4,2,4464,Örjans Vall
2025-05-04,7,Djurgården,AIK Stockholm,1,1,26246,3Arena
2025-05-04,7,Norrköping,BK Häcken,0,2,5589,PlatinumCars Arena
2025-05-04,7,Mjällby,Göteborg,1,0,5496,Strandvallen A-Plan
2025-05-04,7,Öster,Hammarby,0,3,11435,Spiris Arena
2025-05-05,7,Malmö,Brommapojkarna,1,2,18597,Eleda Stadion
2025-05-05,7,Elfsborg,GAIS,2,0,9942,Borås Arena
2025-05-10,8,Brommapojkarna,Halmstad,0,1,1031,Grimsta IP
2025-05-10,8,GAIS,Värnamo,1,1,7392,Nya Gamla Ullevi
2025-05-10,8,Sirius,BK Häcken,2,0,5179,Studenternas IP
2025-05-11,8,Hammarby,Norrköping,1,1,27431,3Arena
2025-05-11,8,AIK Stockholm,Mjällby,2,1,28448,Strawberry Arena
2025-05-11,8,Öster,Elfsborg,0,1,6155,Spiris Arena
2025-05-11,8,Degerfors,Malmö,1,4,5608,Stora Valla
2025-05-12,8,Göteborg,Djurgården,1,2,16872,Nya Gamla Ullevi
2025-05-14,9,BK Häcken,AIK Stockholm,3,3,5884,Bravida Arena
2025-05-14,9,Halmstad,GAIS,1,3,5007,Örjans Vall
2025-05-14,9,Hammarby,Sirius,3,2,21496,3Arena
2025-05-15,9,Göteborg,Öster,0,1,15754,Nya Gamla Ullevi
2025-05-15,9,Värnamo,Malmö,2,2,3481,Finnvedsvallen
2025-05-15,9,Djurgården,Mjällby,1,3,14585,3Arena
2025-05-15,9,Norrköping,Degerfors,1,2,5650,PlatinumCars Arena
2025-05-15,9,Elfsborg,Brommapojkarna,4,3,6122,Borås Arena
2025-05-18,10,AIK Stockholm,Hammarby,0,0,47727,Strawberry Arena
2025-05-18,10,BK Häcken,Värnamo,2,0,3039,Bravida Arena
2025-05-18,10,Öster,GAIS,1,1,5515,Spiris Arena
2025-05-18,10,Malmö,Halmstad,3,0,17418,Eleda Stadion
2025-05-19,10,Sirius,Norrköping,1,2,6041,Studenternas IP
2025-05-19,10,Mjällby,Brommapojkarna,1,0,3583,Strandvallen A-Plan
2025-05-19,10,Degerfors,Göteborg,1,3,5722,Stora Valla
2025-05-19,10,Elfsborg,Djurgården,4,0,10134,Borås Arena
2025-05-22,18,Hammarby,Mjällby,1,2,21798,3Arena
2025-05-22,18,Malmö,AIK Stockholm,0,0,21269,Eleda Stadion
2025-05-24,11,Värnamo,Öster,1,1,3167,Finnvedsvallen
2025-05-24,11,GAIS,Sirius,2,1,6396,Nya Gamla Ullevi
2025-05-25,11,Halmstad,Elfsborg,1,4,4192,Örjans Vall
2025-05-25,11,Göteborg,Malmö,1,0,16284,Nya Gamla Ullevi
2025-05-25,11,Brommapojkarna,AIK Stockholm,0,1,4118,Grimsta IP
2025-05-25,11,Djurgården,BK Häcken,1,1,16483,3Arena
2025-05-26,11,Norrköping,Mjällby,1,1,5463,PlatinumCars Arena
2025-05-26,11,Hammarby,Degerfors,1,0,20893,3Arena
2025-05-29,6,Brommapojkarna,Djurgården,0,1,4008,Grimsta IP
2025-05-31,12,Degerfors,Öster,1,2,4990,Stora Valla
2025-05-31,12,Norrköping,GAIS,0,3,7947,PlatinumCars Arena
2025-05-31,12,Elfsborg,Hammarby,0,2,14239,Borås Arena
2025-06-01,12,Halmstad,Djurgården,1,0,6086,Örjans Vall
2025-06-01,12,Malmö,BK Häcken,3,0,17341,Eleda Stadion
2025-06-01,12,Brommapojkarna,Göteborg,1,3,2682,Grimsta IP
2025-06-01,12,Mjällby,Värnamo,2,0,4302,Strandvallen A-Plan
2025-06-01,12,Sirius,AIK Stockholm,3,1,10135,Studenternas IP
2025-06-28,13,Hammarby,Halmstad,2,0,24323,3Arena
2025-06-28,13,Öster,Sirius,2,2,4872,Spiris Arena
2025-06-29,13,AIK Stockholm,Göteborg,3,0,38172,Strawberry Arena
2025-06-29,13,Degerfors,Brommapojkarna,0,3,3194,Stora Valla
2025-06-29,13,BK Häcken,GAIS,1,3,6316,Bravida Arena
2025-06-29,13,Värnamo,Elfsborg,0,0,3049,Finnvedsvallen
2025-06-30,13,Mjällby,Malmö,1,1,5969,Strandvallen A-Plan
2025-06-30,13,Djurgården,Norrköping,1,1,20727,3Arena
2025-07-05,14,GAIS,Malmö,0,0,11313,Nya Gamla Ullevi
2025-07-05,14,Öster,Mjällby,0,1,6910,Spiris Arena
2025-07-05,14,Hammarby,Värnamo,1,0,22055,3Arena
2025-07-06,14,Göteborg,Sirius,3,1,16212,Nya Gamla Ullevi
2025-07-06,14,Halmstad,AIK Stockholm,2,0,9776,Örjans Vall
2025-07-06,14,Elfsborg,BK Häcken,0,2,9122,Borås Arena
2025-07-06,14,Djurgården,Degerfors,5,1,17245,3Arena
2025-07-07,14,Norrköping,Brommapojkarna,0,1,6742,PlatinumCars Arena
2025-07-12,15,Göteborg,Elfsborg,1,2,16617,Nya Gamla Ullevi
2025-07-12,15,Malmö,Norrköping,3,1,18527,Eleda Stadion
2025-07-13,15,Brommapojkarna,Öster,2,0,948,3Arena
2025-07-13,15,GAIS,Hammarby,3,2,16789,Nya Gamla Ullevi
2025-07-13,15,AIK Stockholm,Degerfors,3,0,27229,Strawberry Arena
2025-07-13,15,Värnamo,Djurgården,1,0,4465,Finnvedsvallen
2025-07-13,15,BK Häcken,Halmstad,4,1,5758,Bravida Arena
2025-07-14,15,Sirius,Mjällby,1,2,6244,Studenternas IP
2025-07-19,16,Djurgården,Elfsborg,1,0,15083,3Arena
2025-07-19,16,Öster,Malmö,0,2,10405,Spiris Arena
2025-07-19,16,Degerfors,GAIS,0,3,4201,Stora Valla
2025-07-20,16,Sirius,Göteborg,0,1,6730,Studenternas IP
2025-07-20,16,Mjällby,AIK Stockholm,2,0,5982,Strandvallen A-Plan
2025-07-20,16,Halmstad,BK Häcken,0,0,5481,Örjans Vall
2025-07-20,16,Hammarby,Brommapojkarna,3,2,21724,3Arena
2025-07-21,16,Norrköping,Värnamo,3,1,8027,PlatinumCars Arena
2025-07-26,17,GAIS,Halmstad,3,0,8039,Nya Gamla Ullevi
2025-07-26,17,Brommapojkarna,Malmö,2,3,2963,3Arena
2025-07-26,17,Degerfors,Norrköping,0,0,4486,Stora Valla
2025-07-27,17,AIK Stockholm,Öster,0,0,23458,Strawberry Arena
