dato,runde,hjemmehold,udehold,hjemmemaal,udemaal,tilskuere,stadion
2024-03-31,1,Odd,Haugesund,1,2,5649,Skagerak Arena
2024-04-01,1,Fredrikstad,Bodø/Glimt,0,2,10691,Fredrikstad stadion
2024-04-01,1,Lillestrøm,Kristiansund,2,3,9457,Åråsen stadion
2024-04-01,1,Molde,Strømsgodset,4,0,7203,Aker stadion
2024-04-01,1,Rosenborg,Sandefjord Fotball,2,0,14605,Lerkendal stadion
2024-04-01,1,Tromsø,Brann,2,4,4890,Romssa Arena
2024-04-01,1,Viking,Sarpsborg 08,1,0,12521,Lyse Arena
2024-04-02,1,KFUM,HamKam,1,1,4018,Intility Arena
2024-04-06,2,Bodø/Glimt,Viking,1,0,6584,Aspmyra stadion
2024-04-07,2,Kristiansund,KFUM,1,1,3549,Nordmøre stadion
2024-04-07,2,HamKam,Molde,0,1,3822,Briskeby
2024-04-07,2,Haugesund,Lillestrøm,0,2,7134,Haugesund Sparebank Arena
2024-04-07,2,Sarpsborg 08,Odd,0,1,4749,Sarpsborg st KG
2024-04-07,2,Strømsgodset,Rosenborg,1,0,6206,Marienlyst stadion
2024-04-07,2,Brann,Fredrikstad,0,2,16287,Brann stadion
2024-04-13,3,Fredrikstad,Sarpsborg 08,2,2,12504,Fredrikstad stadion
2024-04-14,3,Viking,Brann,1,1,15900,Lyse Arena
2024-04-14,3,Molde,Kristiansund,2,0,8810,Aker stadion
2024-04-14,3,Odd,Sandefjord Fotball,2,2,5389,Skagerak Arena
2024-04-14,3,Rosenborg,HamKam,1,0,11278,Lerkendal stadion
2024-04-14,3,Tromsø,Haugesund,0,1,4031,Romssa Arena
2024-04-14,3,Lillestrøm,Bodø/Glimt,0,5,8344,Åråsen stadion
2024-04-16,3,KFUM,Strømsgodset,1,3,2943,Intility Arena
2024-04-17,16,Brann,HamKam,1,0,14808,Brann stadion
2024-04-17,17,Molde,Odd,1,2,5753,Aker stadion
2024-04-21,4,HamKam,Strømsgodset,0,1,3107,Briskeby
2024-04-21,4,Brann,Odd,2,0,15564,Brann stadion
2024-04-21,4,Haugesund,Rosenborg,1,3,5023,Haugesund Sparebank Arena
2024-04-21,4,Kristiansund,Tromsø,1,0,3339,Nordmøre stadion
2024-04-21,4,Sandefjord Fotball,Lillestrøm,0,1,4089,Jotun Arena
2024-04-21,4,Sarpsborg 08,KFUM,0,2,,Sarpsborg st KG
2024-04-21,4,Viking,Fredrikstad,1,1,15009,Lyse Arena
2024-04-21,4,Bodø/Glimt,Molde,1,1,7127,Aspmyra stadion
2024-04-27,5,Rosenborg,Bodø/Glimt,1,3,21276,Lerkendal stadion
2024-04-28,5,Fredrikstad,Sandefjord Fotball,1,0,6669,Fredrikstad stadion
2024-04-28,5,KFUM,Brann,0,0,3298,KFUM-Arena
2024-04-28,5,Lillestrøm,HamKam,1,1,6190,Åråsen stadion
2024-04-28,5,Molde,Haugesund,2,1,6160,Aker stadion
2024-04-28,5,Strømsgodset,Kristiansund,2,2,4279,Marienlyst stadion
2024-04-28,5,Tromsø,Sarpsborg 08,0,3,4873,Romssa Arena
2024-04-28,5,Odd,Viking,3,3,4337,Skagerak Arena
2024-05-04,6,Brann,Rosenborg,3,0,16750,Brann stadion
2024-05-05,6,Bodø/Glimt,Strømsgodset,1,0,5961,Aspmyra stadion
2024-05-05,6,Haugesund,KFUM,0,1,4017,Haugesund Sparebank Arena
2024-05-05,6,Kristiansund,HamKam,1,1,3280,Nordmøre stadion
2024-05-05,6,Odd,Fredrikstad,0,2,5154,Skagerak Arena
2024-05-05,6,Sandefjord Fotball,Molde,3,1,,Jotun Arena
2024-05-05,6,Sarpsborg 08,Lillestrøm,1,0,4706,Sarpsborg st KG
2024-05-05,6,Viking,Tromsø,2,1,10093,Lyse Arena
2024-05-11,7,Molde,Rosenborg,2,2,10746,Aker stadion
2024-05-12,7,Kristiansund,Bodø/Glimt,2,4,4018,Nordmøre stadion
2024-05-12,7,HamKam,Haugesund,2,2,3011,Briskeby
2024-05-12,7,KFUM,Fredrikstad,1,4,3206,KFUM-Arena
2024-05-12,7,Sandefjord Fotball,Sarpsborg 08,4,1,3513,Jotun Arena
2024-05-12,7,Strømsgodset,Viking,0,1,4669,Marienlyst stadion
2024-05-12,7,Tromsø,Odd,4,0,,Romssa Arena
2024-05-12,7,Lillestrøm,Brann,0,2,8386,Åråsen stadion
2024-05-16,8,Bodø/Glimt,Tromsø,4,0,8257,Aspmyra stadion
2024-05-16,8,Brann,Sandefjord Fotball,2,1,16750,Brann stadion
2024-05-16,8,Fredrikstad,Strømsgodset,4,1,11317,Fredrikstad stadion
2024-05-16,8,Haugesund,Kristiansund,1,0,6628,Haugesund Sparebank Arena
2024-05-16,8,Odd,Molde,0,4,6325,Skagerak Arena
2024-05-16,8,Rosenborg,KFUM,1,3,21426,Lerkendal stadion
2024-05-16,8,Sarpsborg 08,HamKam,1,7,6154,Sarpsborg st KG
2024-05-16,8,Viking,Lillestrøm,1,4,15800,Lyse Arena
2024-05-20,9,HamKam,Bodø/Glimt,1,0,5012,Briskeby
2024-05-20,9,KFUM,Odd,0,0,2409,KFUM-Arena
2024-05-20,9,Kristiansund,Brann,2,2,3581,Nordmøre stadion
2024-05-20,9,Lillestrøm,Fredrikstad,0,3,9267,Åråsen stadion
2024-05-20,9,Molde,Sarpsborg 08,2,4,6034,Aker stadion
2024-05-20,9,Sandefjord Fotball,Viking,0,3,3696,Jotun Arena
2024-05-20,9,Strømsgodset,Haugesund,2,0,5346,Marienlyst stadion
2024-05-20,9,Tromsø,Rosenborg,3,2,4713,Romssa Arena
2024-05-24,10,Bodø/Glimt,KFUM,2,2,6243,Aspmyra stadion
2024-05-25,10,Fredrikstad,Tromsø,0,0,8671,Fredrikstad stadion
2024-05-26,10,Haugesund,Sandefjord Fotball,2,1,3615,Haugesund Sparebank Arena
