dato,runde,hjemmehold,udehold,hjemmemaal,udemaal,tilskuere,stadion
2024-11-03,14,FC Nordsjælland,Viborg FF,2,1,3413,Right to Dream Park
2024-11-03,14,FC Midtjylland,Brøndby IF,1,5,11362,MCH Arena
2024-11-03,14,AGF,Lyngby Boldklub,2,1,10838,Ceres Park
2024-11-03,14,AaB,Vejle Boldklub,3,3,6831,Aalborg Portland Park
2024-11-04,14,FC København,Silkeborg IF,2,2,20785,Parken
2024-11-08,15,Vejle Boldklub,SønderjyskE,1,1,6206,Vejle Stadion
2024-11-10,15,Silkeborg IF,Randers FC,1,0,5127,JYSK Park
2024-11-10,15,Lyngby Boldklub,AaB,2,2,4848,Lyngby Stadion
2024-11-10,15,Viborg FF,FC Midtjylland,1,0,8513,Energi Viborg Arena
2024-11-10,15,AGF,FC København,1,1,15894,Ceres Park
2024-11-10,15,Brøndby IF,FC Nordsjælland,1,1,11575,Brøndby Stadion
2024-11-22,16,FC Nordsjælland,AGF,1,0,4016,Right to Dream Park
2024-11-24,16,AaB,Viborg FF,0,0,7659,Aalborg Portland Park
2024-11-24,16,Randers FC,Vejle Boldklub,2,0,4757,Cepheus Park Randers
2024-11-24,16,SønderjyskE,Brøndby IF,2,2,8525,AL Sydbank Park
2024-11-24,16,FC København,Lyngby Boldklub,2,1,22783,Parken
2024-11-25,16,FC Midtjylland,Silkeborg IF,1,0,8703,MCH Arena
2024-11-29,17,Brøndby IF,AaB,1,0,12061,Brøndby Stadion
2024-12-01,17,Viborg FF,Randers FC,1,2,5681,Energi Viborg Arena
2024-12-01,17,Lyngby Boldklub,SønderjyskE,0,2,3378,Lyngby Stadion
2024-12-01,17,Vejle Boldklub,FC Midtjylland,0,3,6455,Vejle Stadion
2024-12-01,17,Silkeborg IF,AGF,1,1,6859,JYSK Park
2024-12-02,17,FC København,FC Nordsjælland,3,1,22996,Parken
2025-02-14,18,Brøndby IF,Viborg FF,4,1,24067,Brøndby Stadion
2025-02-16,18,Silkeborg IF,Vejle Boldklub,0,1,4656,JYSK Park
2025-02-16,18,SønderjyskE,AGF,1,4,5455,AL Sydbank Park
2025-02-16,18,FC Midtjylland,Lyngby Boldklub,1,0,7224,MCH Arena
2025-02-17,18,Randers FC,FC København,1,2,5765,Cepheus Park Randers
2025-02-21,19,Lyngby Boldklub,Randers FC,0,0,4824,Lyngby Stadion
2025-02-23,19,FC Nordsjælland,SønderjyskE,3,2,3215,Right to Dream Park
2025-02-23,19,AGF,AaB,4,0,8506,Ceres Park
2025-02-23,19,Vejle Boldklub,Brøndby IF,2,2,10158,Vejle Stadion
2025-02-23,19,FC København,FC Midtjylland,1,0,31708,Parken
2025-02-24,19,Viborg FF,Silkeborg IF,1,4,5208,Energi Viborg Arena
2025-02-26,18,AaB,FC Nordsjælland,1,2,7498,Aalborg Portland Park
2025-02-28,20,Randers FC,AGF,1,1,9695,Cepheus Park Randers
2025-03-02,20,SønderjyskE,Silkeborg IF,1,3,4032,AL Sydbank Park
2025-03-02,20,Viborg FF,Vejle Boldklub,3,1,5346,Energi Viborg Arena
2025-03-02,20,FC Midtjylland,FC Nordsjælland,2,1,9391,MCH Arena
2025-03-02,20,AaB,FC København,0,0,9146,Aalborg Portland Park
2025-03-03,20,Brøndby IF,Lyngby Boldklub,1,1,21394,Brøndby Stadion
2025-03-07,21,FC Nordsjælland,Vejle Boldklub,3,1,3896,Right to Dream Park
2025-03-09,21,AaB,FC Midtjylland,1,4,8599,Aalborg Portland Park
2025-03-09,21,Silkeborg IF,Lyngby Boldklub,0,1,5310,JYSK Park
2025-03-09,21,AGF,Viborg FF,1,1,8777,Ceres Park
2025-03-09,21,FC København,SønderjyskE,1,1,28922,Parken
2025-03-10,21,Randers FC,Brøndby IF,4,2,8624,Cepheus Park Randers
2025-03-16,22,Brøndby IF,Silkeborg IF,2,2,24056,Brøndby Stadion
2025-03-16,22,Lyngby Boldklub,FC Nordsjælland,1,0,6171,Lyngby Stadion
2025-03-16,22,SønderjyskE,AaB,0,3,4578,AL Sydbank Park
2025-03-16,22,FC Midtjylland,Randers FC,4,2,9821,MCH Arena
2025-03-16,22,Viborg FF,FC København,3,2,7750,Energi Viborg Arena
2025-03-16,22,Vejle Boldklub,AGF,3,2,9655,Vejle Stadion
2025-03-28,23,AaB,Viborg FF,0,4,7036,Aalborg Portland Park
2025-03-30,23,Lyngby Boldklub,Vejle Boldklub,1,2,4106,Lyngby Stadion
2025-03-30,23,SønderjyskE,Silkeborg IF,2,1,3075,AL Sydbank Park
2025-03-30,23,AGF,FC Nordsjælland,2,0,6739,Ceres Park
2025-03-30,23,FC Midtjylland,Brøndby IF,0,2,11447,MCH Arena
2025-03-31,23,FC København,Randers FC,1,0,22979,Parken
2025-04-04,24,Randers FC,FC Midtjylland,2,1,6470,Cepheus Park Randers
2025-04-06,24,Viborg FF,SønderjyskE,2,1,6265,Energi Viborg Arena
2025-04-06,24,Silkeborg IF,Lyngby Boldklub,2,1,3744,JYSK Park
2025-04-06,24,Vejle Boldklub,AaB,1,1,8318,Vejle Stadion
2025-04-06,24,FC Nordsjælland,FC København,0,1,7788,Right to Dream Park
2025-04-07,24,Brøndby IF,AGF,2,1,21151,Brøndby Stadion
2025-04-11,25,AaB,Lyngby Boldklub,2,2,6805,Aalborg Portland Park
2025-04-13,25,FC København,Brøndby IF,1,2,35370,Parken
2025-04-13,25,Viborg FF,Silkeborg IF,2,1,6002,Energi Viborg Arena
2025-04-13,25,AGF,FC Midtjylland,1,1,8023,Ceres Park
2025-04-13,25,FC Nordsjælland,Randers FC,5,2,3681,Right to Dream Park
2025-04-14,25,SønderjyskE,Vejle Boldklub,1,0,6780,AL Sydbank Park
2025-04-16,26,Silkeborg IF,AaB,4,0,4636,JYSK Park
