dato,runde,hjemmehold,udehold,hjemmemaal,udemaal,tilskuere,stadion
2025-09-20,22,Sandefjord Fotball,Brann,0,3,5101,Jotun Arena
2025-09-20,22,Vålerenga,KFUM,1,1,13479,Intility Arena
2025-09-21,22,Rosenborg,Bodø/Glimt,1,1,21078,Lerkendal stadion
2025-09-21,22,Kristiansund,Haugesund,2,0,2950,Nordmøre stadion
2025-09-21,22,Strømsgodset,Sarpsborg 08,2,1,4876,Marienlyst stadion
2025-09-21,22,Tromsø,HamKam,1,0,4319,Romssa Arena
2025-09-21,22,Viking,Molde,1,0,14567,Lyse Arena
2025-09-27,23,Sarpsborg 08,Viking,3,3,4230,Sarpsborg st KG
2025-09-28,19,Brann,Fredrikstad,1,0,15932,Brann stadion
2025-09-28,23,Bryne,Kristiansund,2,0,2003,Bryne stadion
2025-09-28,23,HamKam,Rosenborg,4,0,5114,Briskeby
2025-09-28,23,Tromsø,Strømsgodset,3,1,4068,Romssa Arena
2025-09-28,23,Molde,Vålerenga,4,1,5763,Aker stadion
2025-09-29,23,Haugesund,Sandefjord Fotball,2,3,2731,Haugesund Sparebank Arena
2025-10-01,23,KFUM,Fredrikstad,2,1,1539,KFUM-Arena
2025-10-04,24,Vålerenga,Tromsø,1,0,8423,Intility Arena
2025-10-04,24,Sandefjord Fotball,Bryne,1,0,,Jotun Arena
2025-10-04,24,Kristiansund,Molde,2,1,4003,Nordmøre stadion
2025-10-05,24,Viking,Brann,3,0,15900,Lyse Arena
2025-10-05,24,Bodø/Glimt,Haugesund,2,0,6020,Aspmyra stadion
2025-10-05,24,Fredrikstad,HamKam,1,1,8018,Fredrikstad stadion
2025-10-05,24,Strømsgodset,KFUM,1,1,3852,Marienlyst stadion
2025-10-05,24,Rosenborg,Sarpsborg 08,2,3,11373,Lerkendal stadion
2025-10-18,25,Sarpsborg 08,Bodø/Glimt,2,5,5632,Sarpsborg st KG
2025-10-18,25,Bryne,Rosenborg,2,2,2360,Bryne stadion
2025-10-18,25,Brann,Haugesund,4,1,15342,Brann stadion
2025-10-19,25,Tromsø,Viking,1,3,5021,Romssa Arena
2025-10-19,25,HamKam,Vålerenga,2,1,5313,Briskeby
2025-10-19,25,KFUM,Kristiansund,1,1,1435,KFUM-Arena
2025-10-19,25,Molde,Sandefjord Fotball,1,3,5057,Aker stadion
2025-10-19,25,Strømsgodset,Fredrikstad,0,3,4389,Marienlyst stadion
2025-10-25,26,Viking,Bryne,5,1,15900,Lyse Arena
2025-10-25,26,Sarpsborg 08,KFUM,2,1,3886,Sarpsborg st KG
2025-10-26,26,Rosenborg,Brann,2,3,15701,Lerkendal stadion
2025-10-26,26,Bodø/Glimt,Molde,4,1,6385,Aspmyra stadion
2025-10-26,26,Haugesund,Tromsø,2,3,2783,Haugesund Sparebank Arena
2025-10-26,26,Kristiansund,HamKam,1,3,3066,Nordmøre stadion
2025-10-26,26,Sandefjord Fotball,Fredrikstad,0,0,5935,Jotun Arena
2025-10-26,26,Vålerenga,Strømsgodset,2,1,8076,Intility Arena
2025-10-29,19,Rosenborg,Sandefjord Fotball,1,1,9218,Lerkendal stadion
2025-10-29,23,Brann,Bodø/Glimt,1,2,17026,Brann stadion
2025-11-01,27,Vålerenga,Bodø/Glimt,3,1,14221,Intility Arena
2025-11-01,27,Molde,Rosenborg,4,2,8215,Aker stadion
2025-11-02,27,Strømsgodset,Viking,1,2,6052,Marienlyst stadion
2025-11-02,27,Bryne,Brann,2,1,3304,Bryne stadion
2025-11-02,27,Fredrikstad,Kristiansund,3,1,6760,Fredrikstad stadion
2025-11-02,27,HamKam,Sandefjord Fotball,3,1,2851,Briskeby
2025-11-02,27,KFUM,Haugesund,1,4,1327,KFUM-Arena
2025-11-02,27,Tromsø,Sarpsborg 08,4,0,3738,Romssa Arena
2025-11-08,28,Sarpsborg 08,Fredrikstad,0,2,8022,Sarpsborg st KG
2025-11-08,28,Viking,HamKam,3,0,15559,Lyse Arena
2025-11-09,28,Rosenborg,Vålerenga,1,0,12121,Lerkendal stadion
2025-11-09,28,Bodø/Glimt,Bryne,5,0,6036,Aspmyra stadion
2025-11-09,28,Brann,KFUM,1,1,14560,Brann stadion
2025-11-09,28,Kristiansund,Strømsgodset,2,1,3476,Nordmøre stadion
2025-11-09,28,Sandefjord Fotball,Tromsø,1,0,3740,Jotun Arena
2025-11-09,28,Haugesund,Molde,0,2,2809,Haugesund Sparebank Arena
2025-11-21,29,KFUM,Bodø/Glimt,1,2,2869,KFUM-Arena
2025-11-22,29,Tromsø,Rosenborg,1,0,5707,Romssa Arena
2025-11-22,29,Vålerenga,Kristiansund,3,0,8215,Intility Arena
2025-11-22,29,Molde,Brann,4,0,5820,Aker stadion
2025-11-22,29,Strømsgodset,Sandefjord Fotball,2,6,3909,Marienlyst stadion
2025-11-23,29,Bryne,Sarpsborg 08,0,3,2327,Bryne stadion
